timestamp	subject	rt	eyex	eyey	datatype	timefrom	timeto	pupil	eyecellx	eyecelly	world	path	visible	trialtype	keyPressed	keyAction	validAction	blackremains	numsquaresopen	squaretype	numexits
2021/7/20 12:21:21:641	startmarker
2021/7/20 12:21:22:657	endmarker
2021/7/20 12:21:22:765	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:771	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:771	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:777	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:777	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:782	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:782	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:788	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:788	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:794	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:794	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:800	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:800	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:807	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:807	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:813	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:813	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:819	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:819	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:825	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:825	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:830	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:830	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:836	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:836	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:842	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:842	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:847	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:847	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:853	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:853	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:858	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
2021/7/20 12:21:22:858	111	   0	  -1	  -1	event	      -1	      -1	  -1	-1	-1	AprilNew2	(1,1);	110000000111100101010100101010101101010110001000100111110001000	experiment	NA	NA	0	0	0	X	2
